Date,Week,Time,HomeTeam,AwayTeam,FTR
2020-06-07,33,20:00:00,Tottenham,Everton,H
2020-07-07,33,18:00:00,Crystal Palace,Chelsea,A
2020-07-07,33,18:00:00,Watford,Norwhich,H
2020-07-07,33,20:15:00,Arsenal,Leicester,D
2020-08-07,33,18:00:00,Man City,Newcastle,H
2020-08-07,33,18:00:00,Sheffield United,Wolves,H
2020-08-07,33,18:00:00,West Ham,Burnley,A
2020-08-07,33,20:15:00,Brighton,Liverpool,A
2020-09-07,33,18:00:00,Bournemouth,Tottenham,D
2020-09-07,33,18:00:00,Everton,Southampton,D
2020-09-07,33,20:15:00,Aston Villa,Man Utd,A
2020-11-07,33,12:30:00,Norwich,West Ham,A
2020-11-07,33,12:30:00,Watford,Newcastle,H
2020-11-07,33,15:00:00,Liverpool,Burnley,D
2020-11-07,33,17:30:00,Sheffield United,Chelsea,H
2020-11-07,33,20:00:00,Brighton,Man City,A
2020-12-07,33,12:00:00,Wolves,Everton,H
2020-12-07,33,14:15:00,Aston Villa,Crystal Palace,H
2020-12-07,33,16:20:00,Tottenham,Arsenal,H
2020-12-07,33,19:00:00,Bournemouth,Leicester,H
