Date,Week,Time,HomeTeam,AwayTeam,FTR
17/10/2020,5,11:30:00,Everton,Liverpool,D
17/10/2020,5,14:00:00,Chelsea,Southampton,D
17/10/2020,5,16:30:00,Manchester City,Arsenal,H
17/10/2020,5,19:00:00,Newcastle,Manchester United,A
18/10/2020,5,11:00:00,Sheffield Utd,Fulham,D
18/10/2020,5,13:00:00,Crystal Palace,Brighton,D
18/10/2020,5,15:30:00,Tottenham,West Ham,D
18/10/2020,5,18:15:00,Leicester,Aston Villa,A
19/10/2020,5,16:30:00,West Brom,Burnley,D
19/10/2020,5,19:00:00,Leeds,Wolves,A
