Date,Week,Time,HomeTeam,AwayTeam,FTR
13/07/2020,34,20:00:00,Man United,Southampton,D
14/07/2020,34,20:15:00,Chelsea,Norwich,H
15/07/2020,34,18:00:00,Burnley,Wolves,H
15/07/2020,34,18:00:00,Man City,Bournemouth,H
15/07/2020,34,18:00:00,Newcastle,Tottenham,A
15/07/2020,34,20:00:00,Arsenal,Liverpool,H
16/07/2020,34,18:00:00,Everton,Aston Villa,D
16/07/2020,34,18:00:00,Leicester,Sheffield United,H
16/07/2020,34,20:15:00,Crystal Palace,Man United,A
17/07/2020,34,20:00:00,West Ham,Waftord,D
