Date,Week,Time,HomeTeam,AwayTeam,FTR
22/06/2020,31,20:00:00,Man City,Burnley,H
23/06/2020,31,18:00:00,Leicester,Brighton,D
23/06/2020,31,20:15:00,Tottneham,West Ham,H
24/05/2020,31,18:00:00,Man Utd,Sheffield United,H
24/05/2020,31,18:00:00,Newcastle,Aston Villa,D
24/05/2020,31,18:00:00,Norwich,Everton,A
24/05/2020,31,18:00:00,Wolves,Bournemouth,H
24/05/2020,31,20:15:00,Liverpool,Crystal Palace,H
25/06/2020,31,18:00:00,Burnley,Watford,H
25/06/2020,31,18:00:00,Southampton,Arsenal,A
25/06/2020,31,20:15:00,Chelsea,Man City,H
27/06/2020,31,12:30:00,Aston Villa,Wolves,A
28/06/2020,31,16:30:00,Watford,Southampton,D
