Date,Week,Time,HomeTeam,AwayTeam,FTR
12/09/2020,1,15:00,Crystal Palace,Southampton,A
12/09/2020,1,15:00,Fulham,Arsenal,H
12/09/2020,1,15:00,Liverpool,Leeds,H
12/09/2020,1,15:00,Tottenham,Everton,A
12/09/2020,1,15:00,West Brom,Leicester,A
12/09/2020,1,15:00,West Ham,Newcastle,A
