"Date","Week","Time","HomeTeam","AwayTeam","FTR"
"17/06/2020","29","18:00","Aston Villa","Sheffield United","D"
"17/06/2020","29","20:15","Man City","Arsenal","H"
"19/06/2020","29","18:00","Norwich","Southampton","A"
"19/06/2020","29","20:15","Tottenham","Man United","D"
