"Date","Week","Time","HomeTeam","AwayTeam","FTR"
"20/06/2020","30","12:30","Watford","Leicester","D"
"20/06.2020","30","15:30","Brighton","Arsenal","H"
"20/06.2020","30","17:30","West Ham","Wolves","A"
"20/06.2020","30","19:45","Bournemouth","Crystal Palace","A"
"21/06/2020","30","14:00","Newcastle","Sheffield United","H"
"21/06/2020","30","16:15","Aston Villa","Chelsea","A"
"21/06/2020","30","19:00","Everton","Liverpool","D"
