Date,Week,Time,HomeTeam,AwayTeam,FTR
26/09/2020,3,12:30:00,Brighton,Man Utd,A
26/09/2020,3,15:00:00,Crystal Palace,Everton,A
26/09/2020,3,17:30:00,West Brom,Chelsea,D
26/09/2020,3,20:00:00,Burnley,Southampton,A
27/09/2020,3,12:00:00,Sheffield Utd,Leeds,A
27/09/2020,3,14:00:00,Tottenham,Newcastle,D
27/09/2020,3,16:30:00,Man City,Leicester,A
27/09/2020,3,19:00:00,West Ham,Wolves,H
28/09/2020,3,18:00:00,Fulham,Aston Villa,A
28/09/2020,3,20:15:00,Liverpool,Arsenal,H
